| id | nev | cel | belepesi_pont | auth_szukseges | fo_interakciok | adatforrasok | validaciok | kezelt_allapotok | a11y |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| S01 | Landing | A Boosted app bemutatása, modern Bento Grid kártyákkal a szerepkörök megismertetése. | induló | nem | Navigáció a login felé; Bento kártya hover effektek | Statikus tartalom | Nincs | Nincs | Szemantikus `<header>` és `<main>` tagek, jó kontraszt. |
| S02 | Auth Split-panel | Felhasználók beléptetése és regisztrációja egyetlen, dinamikus kétpaneles felületen. | S01, Deep link | nem | Tab váltás (Login/Reg); Form kitöltés; Szerepkör választás | `POST /api/login`, `POST /api/register` | Kötelező mezők; Helyes email formátum; Backend error alert. | loading, error, success | Fókusz-gyűrűk az inputokon, szín szerinti vizuális visszajelzés. |
| S03 | Edző Dashboard | Az edző átláthatja a klienseit és a napi rendszerstatisztikát. | S02 | igen | Tab navigáció; Keresés a kliensek között; Új kliens gomb | `GET /api/coach/{id}/clients` | Nincs | empty (nincs kliens), loading | Kereső input aria-label támogatással. |
| S04 | Kliens Dashboard | A kliens láthatja az aktuális heti tervét és a korábbi naplózásait. | S02 | igen | Napi napló nyitása; Napra kattintás; Profil/AI tab váltás | `GET /api/client/{id}/plans`, `.../logs` | Nincs | empty (nincs ma még napló), loading | Éles színkontraszt a teendők kiemelésére. |
| S05 | Kliens Adatlap | Részletes fizikai adatok, grafikonok és privát jegyzetek egy adott kliensről. | S03 | igen | Vissza gomb; Boost küldés; Jegyzet mentése; Tervező nyitása | `GET /api/client/{id}/logs` | Nincs | success (boost küldés), loading | Információs hierarchia tagolása grid rendszerrel. |
| S06 | Edzői AI Analitika | Prediktív lemorzsolódás és terheltség elemzés a teljes kliens portfólióra. | S03 | igen | Tab navigáció | Statikus/AI Mock adatok | Nincs | Nincs | Kontrasztos dark mode UI. |
| S07 | Saját Profil | Felhasználói adatok, célok és fizikai paraméterek szerkesztése. | S03, S04 | igen | Profil szerkesztése gomb; Inputok módosítása; Mentés | `PUT /api/user/{id}/profile` | Számformátum validáció (magasság, súly) | loading, success | Focus state a szerkeszthető mezőkön. |
| S08 | Meghívó Modal | Egyedi meghívó token/link generálása és küldése új klienseknek. | S03 | igen | Email megadása; Link másolása vágólapra | `POST /api/invite` | Email validáció. | loading, success | Clipboard API megfelelő hiba/siker kezeléssel. |
| S09 | Edzői Tervező Modal | Edző összeállíthatja a kliens heti edzéstervét napokra bontva. | S05 | igen | Nap választás; Idősáv megadás; Textarea kitöltés; Hét lapozása | `PUT /api/client/{id}/plan` | Nincs | loading, success | Scrollable container, egyértelmű gomb állapotok. |
| S10 | Napi Napló Modal | A kliens rögzíti az alvás, stressz, víz és edzés adatait vizuális csúszkákkal. | S04 | igen | Range sliderek húzása; Plusz/mínusz gombok; Mentés | `POST /api/client/log` | Backend validációk kiírása popupban. | loading, error, success | Sliderek mobilon is könnyen érinthető méretben (touch target). |
| S11 | Kliens Terv Olvasó | A kliens részletesen megtekintheti az edző által kiírt napi feladatokat. | S04 | igen | Napok közötti lapozás; Hét váltás; Bezárás | Lokális state (dashboardról) | Nincs | Nincs | Modális fókusz csapda (focus trap) kialakítása. |
| S12 | Napi Részletek Modal | A kliens korábbi naplózásának részletes, kártyás megtekintése. | S04 | igen | Bezárás | Lokális state (dashboardról) | Nincs | Nincs | Áttekinthető adatvizualizáció. |
| S13 | Kliens AI Analitika | Személyes regenerációs index, fejlődési vektor és szokáselemzés a kliensnek. | S04 | igen | Tab navigáció | Statikus/AI Mock adatok | Nincs | Nincs | Sötét mód, magas kontraszt. |
| S14 | Boost Modal | Gamifikációs visszajelzés a kliensnek, ha az edzője motiválja. | S04 | igen | "Király!" gombbal nyugtázás | `POST /api/client/.../clear-boost` | Nincs | Nincs | Figyelemfelkeltő ikonográfia. |
| S15 | Boosted PRO Landing | Prémium előfizetés (korlátlan kliens, AI asszisztens) értékesítési oldala. | S07 | igen | Előfizetés gomb; Vissza gomb | Nincs | Nincs | Nincs | Kiemelt tipográfia és CTA gomb. |
| S16 | Szakértői Profil Modal | A kliens megnézheti a hozzá rendelt edző szakmai bemutatkozását. | S07 | igen | Bezárás | Lokális state (dashboardról) | Nincs | Nincs | Olvashatóság növelése tiszta grid rendszerrel. |